folder_name,models,rules,lm_accuracy,lm_precision,lm_recall,lm_ROCAUC,lm_f1,lm_CM_TN,lm_CM_FP,lm_CM_FN,lm_CM_TP,mlv_accuracy,mlv_precision,mlv_recall,mlv_ROCAUC,mlv_f1,mlv_CM_TN,mlv_CM_FP,mlv_CM_FN,mlv_CM_TP
run03,5,0,0.7821782178217822,0.7846153846153846,0.9870967741935484,0.5467398764584763,0.8742857142857142,5.0,42.0,2.0,153.0,0.7821782178217822,0.7846153846153846,0.9870967741935484,0.5467398764584763,0.8742857142857142,5.0,42.0,2.0,153.0
run04,5,"3,8,12",0.7871287128712872,0.7857142857142857,0.9935483870967742,0.5499656829100892,0.8774928774928775,5.0,42.0,1.0,154.0,0.7821782178217822,0.7817258883248731,0.9935483870967742,0.5393273850377488,0.875,4.0,43.0,1.0,154.0
run05,6,0,0.2227722772277228,0.3333333333333333,0.012903225806451613,0.4638984214138641,0.024844720496894408,43.0,4.0,153.0,2.0,0.2227722772277228,0.3333333333333333,0.012903225806451613,0.4638984214138641,0.024844720496894408,43.0,4.0,153.0,2.0
run06,6,"3,8,12",0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.6633663366336634,0.8,0.7483870967741936,0.5656829100892244,0.7733333333333334,18.0,29.0,39.0,116.0
run07,10,0,0.2227722772277228,0.375,0.01935483870967742,0.4564859299931365,0.03680981595092025,42.0,5.0,152.0,3.0,0.2227722772277228,0.375,0.01935483870967742,0.4564859299931365,0.03680981595092025,42.0,5.0,152.0,3.0
run08,10,"3,8,12",0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.6683168316831684,0.8013698630136986,0.7548387096774194,0.5689087165408374,0.7774086378737542,18.0,29.0,38.0,117.0
run09,11,0,0.2326732673267327,0.0,0.0,0.5,0.0,47.0,0.0,155.0,0.0,0.2326732673267327,0.0,0.0,0.5,0.0,47.0,0.0,155.0,0.0
run10,11,"3,8,12",0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.6782178217821783,0.8214285714285714,0.7419354838709677,0.6050102951269732,0.7796610169491526,22.0,25.0,40.0,115.0
run11,15,0,0.2326732673267327,0.0,0.0,0.5,0.0,47.0,0.0,155.0,0.0,0.2326732673267327,0.0,0.0,0.5,0.0,47.0,0.0,155.0,0.0
run12,15,"3,8,12",0.7673267326732673,0.7673267326732673,1.0,0.5,0.8683473389355743,0.0,47.0,0.0,155.0,0.6782178217821783,0.8214285714285714,0.7419354838709677,0.6050102951269732,0.7796610169491526,22.0,25.0,40.0,115.0
